Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	trt1	127N	128C	129N	130C	131N	RefInt_TMT6_FP18_chimerys
PAM16	7	Q9Y3D7	1.0	24.52752701559122	0.015218702062178124	0.056013520599648814	-0.03557774322906937	0.09578629700917318	0.054667759672824445	-0.10184984145295672	24.52752701559122
PAN3	3	Q58A45	1.0	21.714091495354	0.07111748797850126	0.07272519939861866	0.008849008424835603	0.012731302882492912	-0.12344649576087718	-0.13469356266433152	21.714091495354
PANK2	4	Q9BZ23	1.0	22.545171159739517	-0.017746311066041187	0.04707487145670797	0.06933155464360041	0.02230448231111737	-0.13089733773382228	-0.04680926603663149	22.545171159739517
PANK4	9	Q9NVE7	1.0	22.212653583453562	0.05636072539990433	0.051739141576966574	0.009806518795739905	0.022456208749577655	-0.10748150540275958	-0.051592529333932546	22.212653583453562
PAPOLA	15	P51003	1.0	24.30863130066469	0.037672736191666445	0.015333923781533088	-0.007543035697327838	0.051838212098473946	-0.04184174933454443	-0.06948167650192616	24.30863130066469
PAPOLG	1	Q9BWT3	0.9908	18.65715842263216	-0.04593941052299222	-0.21263822692521117	-0.015521595566433177	0.024262595033301082	0.0715139428047955	0.1522560142072571	18.65715842263216
PAPSS1	22	O43252	1.0	24.706732077099144	0.020313925722598825	0.06621178114774384	-0.02169277666653535	0.04193039264977738	-0.10141418540332481	-0.07774335573081625	24.706732077099144
PARD3	1	Q8TEW0	1.0	21.357387543875763	-0.022841414159643136	-0.08214466847916668	-0.05370792145284753	0.13193407728532947	0.02630145480663515	-0.00949688712947605	21.357387543875763
PARG	8	Q86W56	1.0	23.70621718378877	0.013611871243583096	0.06954814972942991	-0.020577451010506564	-0.0022516719961522824	-0.06814419952431727	-0.05642133352344558	23.70621718378877
PARK7	66	Q99497	1.0	29.726782320578735	0.04721034121447687	0.05582317689987537	-0.031443641346523776	0.013188093982048343	-0.031723281817090054	-0.07557134716274128	29.726782320578735
PARL	1	Q9H300	1.0	21.555947445556964	-0.17455222419647143	0.049140467586966	0.14221263106233906	0.08521909381122228	-0.12656670628887667	-0.0016524963708270946	21.555947445556964
PARN	9	O95453	1.0	28.36496022418801	0.08285005407964263	0.05144550857190211	-0.007041890901518855	-0.023578016362577614	-0.047346625608856385	-0.08859437069536824	28.36496022418801
PARP1	126	P09874	1.0	27.60892197511382	0.049995621225885856	0.07104256657995656	-0.02316275570299453	0.03788502597254606	-0.06799327318932669	-0.08271554462899111	27.60892197511382
PARP12	2	Q9H0J9	1.0	22.417207460759162	0.12320845223877619	-0.04143244434526139	0.04733271955833018	5.031447579231241E-4	-0.07485152956628127	-0.08049345624748483	22.417207460759162
