Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	RefInt_TMT10_FP18_chimerys
COQ8B	6	Q96D53	1.0	21.32370561271976	21.756154782241097	17.913996470277	18.103713351744506	22.53231340770484	18.429023241501646	21.733039441911817	21.625758995274868	21.817266065484638	18.35529419495777	21.95967589767557	21.32370561271976
COQ9	10	O75208	1.0	25.37004415392854	25.975377475172277	21.732315281974877	23.15792323310737	26.164797975253137	22.15642622744351	25.70051262897272	25.368286358617443	26.189061351698513	22.134169348366974	26.061152137862564	25.37004415392854
CORO1A	27	P31146	1.0	26.08408955634132	26.00870421277377	21.741707902537147	23.15389689397401	26.32828316728801	22.8166115402802	26.592092113641193	26.863019161777036	26.619367687391698	23.691325357346933	27.3029077029621	26.08408955634132
CORO1B	25	Q9BR76	1.0	24.82524198595454	25.07384766376191	20.70090795399018	22.32343815185974	25.51753627138968	21.488752425223733	25.333506897921048	25.422078162711	25.476134032304152	22.04827115763218	25.7733011869073	24.82524198595454
CORO1C	22	Q9ULV4	1.0	25.45679854791333	25.32909303639369	21.044643993813377	22.41185506713449	26.62938943855303	21.872422585521047	25.64000711879746	25.660290366698423	26.054395551168458	22.324065694158666	26.491737276034097	25.45679854791333
CORO2A	2	Q92828	0.9996	19.423658586271944	19.693341139681774	15.592386580483693	15.902351903580225	20.827453093360333	16.15757153506417	19.707177117165415	19.55549047299281	20.07489594713461	16.15468464331773	20.33036695612745	19.423658586271944
CORO6	1	Q6QEF8	0.985	19.26522617556078	19.212908909877132	16.176985442001428	16.142970278334	20.375709346786554	15.817741666257952	19.76613198347082	19.63720692189426	19.98365049647791	15.793108116880784	20.340837311097165	19.26522617556078
CORO7	11	P57737	1.0	24.618978036515543	24.756893793796852	20.94366023555886	21.995534620105076	25.046694701360074	21.96746753270493	25.08271367821798	25.293202812437396	25.173476147302765	22.053306062462806	25.709388181656237	24.618978036515543
COTL1	12	Q14019	1.0	25.438418567784733	25.866321591838553	21.13314167171508	23.199803819262794	25.04210093788316	21.550854498651464	25.495784893634546	25.867378962824787	25.630238051661102	22.597038501157883	27.362259748182048	25.438418567784733
COX11	2	Q9Y6N1	1.0	20.36840978429194	20.51404141239126	15.759225874013332	17.426835105446838	21.47875965443127	16.562623241468913	20.737479065237178	20.23423891923338	20.985147056007097	17.159881506588622	20.450761605181608	20.36840978429194
COX14	3	Q96I36	0.9998	23.533486269844733	23.32569213308146	19.06293358971531	20.36279885520605	25.1689460869093	19.97405582310279	24.497762757046367	23.90965805614576	23.972710917784614	20.389084113680152	23.575507175026853	23.533486269844733
COX15	2	Q7KZN9	1.0	19.431139751554216	19.700940397051955	14.768415246518835	16.47639218480207	20.63538511673276	15.712908826265547	20.088441899381266	20.139524996256313	20.183030355741145	16.53803184646994	19.624601023318675	19.431139751554216
COX17	3	Q14061	1.0	23.153155336275162	22.769542907713976	18.593216793886143	20.132473385232036	24.781212446629286	19.551651363010055	23.567449858690015	23.28787600257526	23.71123848474773	20.208835990007792	22.97657412402785	23.153155336275162
COX18	4	Q8N8Q8	0.9999	21.834330503909765	22.079766344455496	17.54152554678942	18.69684587113748	23.188687395159008	18.44280806946146	22.539305333725284	22.175116383968444	22.498179744429976	18.56579559516139	22.329251354566743	21.834330503909765
COX19	1	Q49B96	0.9953	20.07417104682994	20.102961336187466	15.456670764296057	17.23646673213217	21.90500008584464	15.988361776151187	20.407247944462338	19.865571480754994	20.83315725800601	16.415214496924726	20.43748286277061	20.07417104682994
